sample_name,number_of_players,number_of_incentives,mean_wealth,median_wealth,std_wealth,skewness,kurtosis,gini_coefficient
PIDCplyr_192_inctvs_1350_,192,1350,6.927083333333333,7,2.9306028662584467,0.6044049191099853,0.12588804464948655,0.23512687969924806
PIDCplyr_192_inctvs_1400_,192,1400,7.171875,7,3.131932414826614,0.3565227813094584,-0.380838621,0.2459944625998547
PIDCplyr_192_inctvs_1450_,192,1450,7.505208333333333,7,3.281890645130825,0.8642987577546447,1.4035010988929608,0.24011464839232022
PIDCplyr_165_inctvs_500_,165,500,2.9515151515151516,3,1.858008254559935,0.5356211837007845,-0.046446114,0.35042001120029853
PIDCplyr_165_inctvs_550_,165,550,3.2606060606060607,3,1.9034162897496916,0.4523558775059131,-0.314580033,0.3261462205700123
PIDCplyr_165_inctvs_600_,165,600,3.5272727272727273,3,2.093463525280639,0.8514481115827085,0.9188404884407557,0.32250338435905435
PIDCplyr_165_inctvs_650_,165,650,3.787878787878788,3,2.2664559940988065,0.7724864743475137,1.1510295966782937,0.32554666666666654
PIDCplyr_165_inctvs_700_,165,700,4.1030303030303035,4,2.300524953,0.653535175,0.2824796454919456,0.30908195694015494
PIDCplyr_165_inctvs_750_,165,750,4.4,4,2.414099995418331,0.5503234233179576,0.2520201702099394,0.30523415977961443
PIDCplyr_165_inctvs_800_,165,800,4.709090909090909,4,2.2857083825189415,0.4660991133900451,-0.019819702,0.2707070707070707
PIDCplyr_165_inctvs_850_,165,850,4.987878787878788,5,2.376623218918296,0.4153087660846689,-0.010744996,0.26457527891306754
PIDCplyr_165_inctvs_900_,165,900,5.363636363636363,5,2.510803104866042,0.5480441251283411,0.090826885,0.26064030131826754
PIDCplyr_165_inctvs_950_,165,950,5.642424242424243,5,2.4044189499097346,0.17780984859959909,-0.300356785,0.2391042541418481
PIDCplyr_165_inctvs_1000_,165,1000,5.878787878787879,5,2.955811694473518,0.7421928088897894,0.19800585108752466,0.2767260231177757
PIDCplyr_165_inctvs_1050_,165,1050,6.236363636363636,6,2.6830351630104317,0.2518390425122305,-0.609539447,0.24388491327266826
PIDCplyr_165_inctvs_1100_,165,1100,6.4787878787878785,6,2.844639570901369,0.5474041499691342,0.6528467477177715,0.24322929954361194
PIDCplyr_165_inctvs_1150_,165,1150,6.842424242424243,7,3.0109930208377294,0.21930862801216297,-0.101922786,0.24660063880613037
PIDCplyr_165_inctvs_1200_,165,1200,7.151515151515151,7,2.8017441766850544,0.1487228316768165,-0.356042999,0.2213559322033899
